map,ban1,ban2,ban3,ban4,pick1,pick2,pick3,pick4,pick5,ban5,ban6,pick6,pick7,pick8,pick9,pick10
shrines,genji,maiev,garrosh,diablo,tyrande,deckard,tyrael,hanzo,kerrigan,anubarak,hammer,yrel,raynor,stitches,medivh,tassadar
sky,tyrande,genji,anubarak,abathur,maiev,garrosh,deckard,muradin,kharazim,dehaka,arthas,medivh,samuro,greymane,artanis,jaina
boe,diablo,hanzo,tyrande,medivh,genji,abathur,yrel,garrosh,kharazim,liming,anubarak,jaina,deckard,blaze,raynor,johanna
volskaya,blaze,genji,johanna,tyrande,diablo,garrosh,hanzo,maiev,yrel,jaina,malthael,junkrat,deckard,tracer,malfurion,gazlowe
